city,uof_url,uof_shootings_only,uof_coverage,uof_foia_requested,uof_notes,arr_url,arr_coverage,arr_demographic,arr_download,arr_notes,cfs_url,cfs_coverage,cfs_download,cfs_officer_initiated,cfs_dispatched,cfs_outcome,cfs_location,cfs_notes,crime_url,crime_coverage,crime_download,crime_notes,map_url,map_coverage,map_download,map_notes,cens_pop_2010,cens_est_base,cens_est_2010,cens_est_2011,cens_est_2012,cens_est_2013,cens_est_2014,cens_est_2015,cens_est_2016,cens_est_2017,cens_est_2018,cens_est_2019
"Omaha city, Nebraska",N/A,,,Y,,N/A,,,,Unsure the affiliation of this site: https://inmate.watch/recent/; Statewide UCR data: https://www.nebraska.gov/crime_commission/arrest/arrest.cgi,N/A,,N,,,,,,https://police.cityofomaha.org/crime-information/incident-data-download,2015-Present,Y,,https://www.crimemapping.com/map/agency/271,Unk,N,,"408,958","458,989","459,659","462,101","465,261","468,086","470,423","472,638","475,044","476,271","477,299","478,192"
"Raleigh city, North Carolina",https://opendatapolicing.com/nc/agency/225/,N,2002 - 2019,Y,Only from traffic stops,N/A,,,,,N/A,,N,,,,,,http://data-ral.opendata.arcgis.com/datasets/raleigh-police-incidents-nibrs,2014-Present,Y,,https://raleighnc.gov/safety/content/Police/Articles/OnlineCrimeMapping.html,Unk,N,,"403,892","404,068","406,353","413,958","423,304","431,391","439,503","449,546","459,469","465,776","469,314","474,069"
"Miami city, Florida",N/A,,,Y,Miami-Dade participated in a UOF study in 1999: https://www.ncjrs.gov/pdffiles1/nij/176330.pdf,N/A,,,,Jail bookings in Miami-Dade county 05/29/2015 to present: https://gis-mdc.opendata.arcgis.com/datasets/db658214dccf4331bc1d82c8547d170a_0,N/A,,N,,,,,,N/A,,,,https://www.crimemapping.com/map/fl/miami-dadecounty,Unk,N,,"399,457","399,481","400,779","406,593","411,149","415,661","425,110","434,738","449,149","456,617","462,819","467,963"
"Long Beach city, California",http://www.longbeach.gov/police/about-the-lbpd/lbpd-1421748/use-of-force/,N,"2001,2015 -2018",Y,Cases resulting in death or great bodily injury,N/A,,,,,N/A,,N,,,,,,N/A,,,,https://longbeachca.maps.arcgis.com/apps/webappviewer/index.html?id=da05d12e09104e598b6ebcace59f2bba,2019-Present,N,,"462,257","462,221","462,431","464,512","466,873","468,000","469,109","470,128","468,719","466,646","465,865","462,628"
"Virginia Beach city, Virginia",https://www.vbgov.com/pages/search-results.aspx?q=police%20annual%20report,N,2010-2018,Y,Annual report gives very basic UOF information. Citizen complaints involving use of force can be found here: https://www.vbgov.com/government/departments/police/profstanddiv/Pages/ia-stats.aspx,N/A,,,,,https://data.vbgov.com/dataset/police-calls-for-service,2018-2019,N,Y,Y,Y,Y,,https://data.vbgov.com/dataset/police-incident-reports,2016-2019,Y,,N/A,,,,"437,994","437,903","438,859","442,583","445,044","447,706","448,864","450,304","450,983","449,896","449,849","449,974"
"Oakland city, California",https://www.oaklandca.gov/topics/use-of-force-uof-levels,N,2012-2017,Y,Yearly Totals by Use of Force Type,N/A,,,,,https://www.oaklandca.gov/resources/police-department-calls-for-service,Unk,N,,,,,Site cannot be reached message,N/A,,,,N/A,,,,"390,724","390,765","391,406","396,086","401,104","406,648","412,901","418,211","420,947","424,382","429,056","433,031"
"Minneapolis city, Minnesota",http://opendata.minneapolismn.gov/datasets/police-use-of-force,N,2007-2020,Y,Use of Force Database by Incident,N/A,,,,,"Message that it is ""currently offline""",,,,,,,,https://tableau.minneapolismn.gov/views/MPDMStatCrimeData/CrimeDashboard-byDate?%3Aembed=y&%3AshowAppBanner=false&%3AshowShareOptions=true&%3Adisplay_count=no&%3AshowVizHome=no,2016-present,N,Crime data dashboard,N/A,,,,"382,578","382,603","383,067","388,052","392,768","400,070","407,067","411,030","415,079","420,925","424,903","429,606"
"Tulsa city, Oklahoma",https://www.tulsapolice.org/media/165885/IA_Annual_Report_2018r.pdf,N,2018,Y,,https://www.tulsapolice.org/police-report/report-a-crime-online/open-records-act.aspx,2012-2018,Y,Y,Lots of NAs in the demographic field,http://maps.cityoftulsa.org/crimes/?esearch=curmonth&slayer=0&exprnum=0,Unk,N,N,N,N,Y,crime map format,N/A,,,,N/A,,,,"391,906","392,004","392,403","393,005","394,643","398,401","399,892","403,491","404,007","402,060","400,414","401,190"
"Tampa city, Florida",N/A,,,Y,"not found, no use of force data in annual report",N/A,,,,,https://apps.tampagov.net/CallsForService_Webapp/Default.aspx?type=TPD,Unk,N,N,N,N,Y,Only for past week (Only Dispatched Calls),N/A,,,,N/A,,,,"335,709","336,150","337,053","342,589","348,090","355,172","362,664","371,464","380,344","391,026","397,232","399,700"
"Arlington city, Texas",https://www.arlingtontx.gov/city_hall/departments/police/reporting/use_of_force_report,N,2014-2018,Y,Annual Report,N/A,,,,Jail bookings: https://www.arlingtontx.gov/city_hall/departments/police/crime/jail_arrests_offenders,https://arlingtonpd.org/webapps/policeincidents/,same day,N,Y,,N,Y,Also available as map,https://arlingtonpd.org/webapps/neighborhoodcrimesearch/,2019-present,N,Can view each individual crime on its own map,N/A,,,Can view each individual crime on its own map,"365,438","365,098","365,892","370,253","375,629","378,950","382,721","388,728","394,384","397,173","398,123","398,854"
